
Uitsig  HS

Heights - Static 1,10.250.22.123,,

Bronkhorstspruit HS

Name,Ip,Model,Clients
TFWB-Bronkhorstpruit,10.100.75.129,CCR1009-8G-1S,11
 TFWB-Bronkhorstspruit-Sec3-W,10.100.75.133,Rocket M5 Titanium,
 TFWB-VOIP-SEC-S,10.100.75.132,Rocket M5 Titanium,
 TFWB-Bronkhorstspruit-Sec-S,10.100.75.131,Rocket M5 Titanium,
BRONK_PM,10.250.22.22,0,
TFW-Bronkhorstspruit H/S,10.100.56.9,CCR1009-8G-1S,0
Bronkhorspruit - Static 1,10.250.22.19,,
Bronkhorspruit - PTZ,10.250.22.21,,

Gift Acres HS

Name,Ip,Model,Clients

Unknown

Name,Ip,Model,Clients
Google main,www.google.co.za,0,
 www.wipronet.co.za/qumi2,10.105.20.246,Bullet M5,
 QuminetAP,10.105.20.245,Rocket M5,
 PtP - Gigantic Earth Movers,10.105.2.133,Rocket M5,
 Link na Elnatan,10.105.20.250,Rocket M5,
 Rigting Klipkop,10.105.20.141,PowerBeam M5,
MH-KF2,10.105.20.145,PowerBeam M5,
 Clearaccess Uplink,10.100.122.133,NanoBridge M5,
Coetzee - Witpoort ,10.105.8.133,,

Lynnwood HS 

Name,Ip,Model,Clients

Wilgers 2 HS

Name,Ip,Model,Clients
BW Wilgers 2,10.100.33.129,CCR1009-8G-1S,28
 BW-WIL2-SEC-E,10.100.33.135,Rocket M5 Titanium,
BW- Wil2-SEC-NE-BO,10.100.33.133,Rocket M5 Titanium,
 BW-FGL3-TO-WIL2,10.100.33.10,PowerBeam M5,
 BW-WIL2-SEC-N,10.100.33.132,Rocket M5 Titanium,
 BW-WIL2-SEC-NE ONDER,10.100.33.134,Rocket M5 Titanium,
BW-WIL_2-PM,10.100.33.140,0,
WIL2 - Murrayfield-Station,10.100.81.13,0,
WIL2 - Grove-AP,10.100.33.34,0,
Wilgers 2 - Static 1,10.100.33.19,,
Wilgers 2 - Static 2,10.100.33.20,,
Wilgers 2 - Static 3,10.100.33.21,,

Wilgers 3 HS

Name,Ip,Model,Clients
Wilgers 3 Wispsa,10.100.77.129,RB2011UiAS,30
 WISPSA-WIL-SECTOR-2,10.100.77.132,Rocket M5 Titanium,
 WISPSA-WIL-SECTOR-1,10.100.77.131,Rocket M5 Titanium,
 Rocket M5,10.100.77.10,Rocket M5,
 WISPSA-WIL-SECTOR-5 VOICE,10.100.77.135,Rocket M5,
 WISPSA-WIL-SECTOR-4,10.100.77.134,Rocket M5,
 WISPSA-WIL-SECTOR-3,10.100.77.133,Rocket M5,
Wilgers 3 PM,10.100.77.139,,
Wilgers 3 Camera Toughswitch,10.100.77.18,,
Wilgers 3 Static Camera 1,10.100.77.19,,
Wilgers 3 Static Camera 2,10.100.77.20,,

Wilgers 1 HS

Name,Ip,Model,Clients
BW-Wilgers-1,10.100.31.129,CCR1009-8G-1S,24
 BW-WIL1-SEC-N-ONDER,10.100.31.135,Rocket M5 Titanium,
 BW-WIL1-SEC-N-BO,10.100.31.134,Rocket M5 Titanium,
 BW-WIL1-SEC-NW,10.100.31.133,Rocket M5 Titanium,
 BW-WIL1-SEC-NE,10.100.31.136,Rocket M5 Titanium,
 BW-BH-WIL1-MAGALIES,10.100.91.10,0,
WIL1-PM,10.100.31.23,0,
Wilgers 1 - Static 1,10.100.31.19,,
Wilgers 1 - Static 2,10.100.31.20,,
Wilgers 1 - Static 3,10.100.31.21,,

Twin City

Name,Ip,Model,Clients
Twin City,10.100.70.129,RB2011iLS,9
 BW-Twincity-Sec4-W,10.100.70.134,Rocket M5 Titanium,
 BW-Twincity-Sec3-S,10.100.70.133,Rocket M5 Titanium,
 BW-Twincity-Sec2-E,10.100.70.132,Rocket M5 Titanium,
 BW-Twincity-Sec1-N,10.100.70.131,Rocket M5 Titanium,
 BW-GROENKLOOF-TO-TWINCITY,10.100.70.10,Rocket M5 Titanium,
Pieter delport - TwinCity-Station,10.100.5.19,0,

Faerie Glen 4

Name,Ip,Model,Clients
Faerie Glen 4,10.100.61.129,CCR1036-12G-4S,1
 FGL4-TO-WIL1,10.100.31.10,0,
 BW-FGL4-SEC SW 2,10.100.152.140,Rocket M5 Titanium,
 BW-FGL4-SEC-NE,10.100.152.136,Rocket M5 Titanium,
 BW-FGL4-SEC-SW,10.100.152.135,Rocket M5 Titanium,
 BW-FGL4-SEC-W,10.100.152.134,Rocket M5 Titanium,
 BW-FGL4-SEC-SE,10.100.152.133,Rocket M5 Titanium,
 BW-FGL4-SEC-N,10.100.152.132,Rocket M5 Titanium,
 BW-FGL4-SEC-NW,10.100.152.138,Rocket M5 Titanium,
FGL4-PM,10.123.123.166,0,
Faerie Glen 4 Camera Toughswitch,10.100.152.18,,
Faerie Glen 4 Static Camera 1,10.100.152.20,,
Faerie Glen 4 Static Camera 2,10.100.152.21,,
Faerie Glen 4 Static Camera 3,10.100.152.22,,

Faerie Glen 2 (Koedoesnek)

Name,Ip,Model,Clients
bwkoedoesnek,10.100.3.129,CCR1009-8G-1S-1S+,52
 TFWB-FGL-North,10.100.3.134,Rocket M5 Titanium,
 TFWB-FGL-South,10.100.3.131,Rocket M5 Titanium,
Koedoesnek - FGL 3-Station,10.100.64.11,0,
Koedoesnek  Fibre Tilera,10.99.1.14,CCR1016-12S-1S+,1
Koedoesnek (FGL2) - Static 1,10.100.3.19,,
Koedoesnek (FGL2) - Static 2,10.100.3.20,,
Koedoesnek (FGL2) - Static 3,10.100.3.21,,
Koedoesnek (FGL2) - Static 4,10.100.3.22,,
Koedoesnek (FGL2) - Static 5,10.100.3.23,,
BW-BH-FGL_2-TO-FGL_4,10.100.3.59,,

Laudium HS

Name,Ip,Model,Clients
Laudium BW,10.100.93.129,CCR1009-8G-1S,19
 TFWB-Luad-Sec-NW,10.100.93.131,Rocket M5 Titanium,
 TFWB-Luad-Sec-NE,10.100.93.132,Rocket M5 Titanium,
 Vibro Econslag HS Titanium,10.100.93.144,0,
LAUD-PM,10.250.4.231,0,

Faerie Glen 3

Name,Ip,Model,Clients
BW Faerie Glen 3,10.100.64.129,CCR1009-8G-1S,38
 BW-FGL3-SEC-NE,10.100.64.135,Rocket M5 Titanium,
 BW-FGL3-SEC4-E-ONDER,10.100.64.134,Rocket M5 Titanium,
 BW-FGL3-SEC3-E-BO,10.100.64.133,Rocket M5 Titanium,
 BW-FGL3-SEC2-W-ONDER,10.100.64.132,Rocket M5 Titanium,
 BW-FGL3-SEC1-W-BO,10.100.64.131,Rocket M5 Titanium,
 BW-BH-KOEDOESNEK-TO-FGL3,10.100.64.10,PowerBeam M5,
 BW-FGL3-SEC-N,10.100.64.136,Rocket M5 Titanium,
FGL-3_PM,10.100.64.138,0,
FGL3 - WIL2-Station,10.100.33.11,0,
Faerie Glen 3 Camera Toughswitch,10.100.64.18,,
Faerie Glen 3 Static Camera 1,10.100.64.19,,
Faerie Glen 3 Static Camera 2,10.100.64.20,,
Faerie Glen 3 Static Camera 3,10.100.64.21,,

Wapadrand HS

Name,Ip,Model,Clients
Wapadrand,10.100.52.129,RB2011UiAS,19
 TFWB-Wapadrand-O,10.100.52.132,Rocket M5 Titanium,
 Wapadrand Power Monitor,10.100.52.138,0,
 TFWB-Wapadrand-W,10.100.52.133,Rocket M5 Titanium,
 TFWB-Wapadrand-N,10.100.52.131,Rocket M5 Titanium,
 Rocket 5AC Prism,10.100.52.10,0,
Wapadrand Toughswitch Cameras,10.100.52.18,,
Wapadrand  Static Cam 1,10.100.52.19,,
Wapadrand  Static Cam 2,10.100.52.20,,
Wapadrand  Static Cam 3,10.100.52.21,,

Faerie Glen 1

Name,Ip,Model,Clients
BW_Faerie_Glen_1,10.100.88.129,CCR1036-12G-4S,41
 BronWisp-Tower-North-2,10.100.88.136,Rocket M5,
 Bronwisp-Tower-West-Eco,10.100.88.137,Rocket M5,
 BronWisp-Tower-West-2,10.100.88.132,Rocket M5 Titanium,
 BW-T-Voip-S1,10.100.88.139,Rocket M5 Titanium,
 BronWisp-Tower-West-Broardwalk,10.100.88.131,Rocket M5,
FGL1-PM,10.100.88.254,0,
BronWisp-Tower-South-10,10.100.88.133,Rocket M5,
Polaris - FGL5-AP,10.100.9.10,0,
Faerie Glen 1 Camera Toughswitch,10.100.88.18,,
Faerie Glen 1 Static Camera 1,10.100.88.19,,
Faerie Glen 1 Static Camera 2,10.100.88.20,,
Faerie Glen 1 Static Camera 3,10.100.88.21,,

Skurweplaas HS

Name,Ip,Model,Clients

Klapperkop HS

Name,Ip,Model,Clients
Klapperkop (Groenkloof) - Static 1,10.250.17.11,,

Farm Inn West HS

Name,Ip,Model,Clients
BW_Farm Inn_Tower_West_Backup,10.100.72.129,CCR1009-8G-1S-1S+,55
 FI-WT-N,10.100.72.254,Rocket M5,
 FI-WT-S,10.100.72.138,Rocket M5,
 FI-WT-W,10.100.72.139,Rocket M5,
 BW-Farmin-West-Sect-W,10.100.72.134,Rocket M5 Titanium,
 BW-Farmin-West-Sect-S,10.100.72.133,Rocket M5 Titanium,
 BW-Farmin-West-Sect-E,10.100.72.132,Rocket M5 Titanium,
 BW-Farmin-West-Sect-N,10.100.72.131,Rocket M5 Titanium,
FI_WT-PM,10.100.72.137,0,

Farm Inn Main HS

Name,Ip,Model,Clients

ATTR HS-002

Name,Ip,Model,Clients
ATTR-002-PM,10.254.36.5,0,

Lammers 1

Name,Ip,Model,Clients
Lammers 1 New,10.100.143.129,CCR1009-8G-1S-1S+,2
 BW-LAM-SEC-SW,10.100.0.136,Rocket M5 Titanium,
 BW-LAM-WEST,10.100.0.134,Rocket M5 Titanium,
 BW-LAM_1-Voip-SW,10.100.0.138,Rocket M5,
 BW-LAM_1-Voip-SE,10.100.0.137,Rocket M5,
 BW-LAM-NORTH,10.100.0.133,Rocket M5,
 BW-LAM-SECT-E,10.100.0.132,Rocket M5,
 BW-LAM-SECT-N,10.100.0.131,Rocket M5,
 BW-LAMMERS1-AC-SOUTH,10.100.143.141,Rocket M5 Titanium,
 BW-LAMMERS1-AC-SOUTEAST-UPPER,10.100.143.140,Rocket M5 Titanium,
 BW-LAMMERS1-AC-SOUTHWEST-UPPER,10.100.143.139,Rocket M5 Titanium,
LAM1-PM,10.100.143.145,0,
Lammers1,10.100.0.129,CCR1009-8G-1S,47
Lammers - Cbd-AP,10.100.18.10,0,
Lammers 1 - MenloPark-AP,10.100.42.34,0,
Lammers Vusi huis,10.99.1.50,CCR1016-12S-1S+,5
Lammers 1 - Static 1,10.100.0.19,,
Lammers 1 - Static 2,10.100.0.20,,
Lammers 1 - Static 3,10.100.0.21,,
Lammers 1 Sectors TS,10.100.0.130,,

Farm Inn East HS

Name,Ip,Model,Clients
Farminn East NEW ,10.100.104.129,CCR1009-8G-1S,190
 BW-FI-WT,192.168.30.21,Rocket M5,
 BW-FI-S-2,10.100.104.150,Rocket M5,
 BW-FI-S-5,10.100.104.139,Rocket M5 Titanium,
 www.bronbergwisp.co.za/NE,10.100.104.138,Rocket M5 Titanium,
 www.bronbergwisp.co.za/E-3,10.100.104.136,Rocket M5 Titanium,
 www.bronbergwisp.co.za/SW-4,10.100.104.132,Rocket M5 Titanium,
 www.bronbergwisp.co.za/SE-6,10.100.104.131,Rocket M5 Titanium,
 www.bronbergwisp.co.za/S-5,10.100.104.135,Rocket M5 Titanium,
 www.bronbergwisp.co.za/N-1,10.100.104.134,Rocket M5 Titanium,
 www.bronbergwisp.co.za/W-2,10.100.104.133,Rocket M5 Titanium,
 BW-FI-S-6,10.100.104.149,Rocket M5,
 BW-FI-S-4,10.100.104.147,Rocket M5,
 BW-FI-S-1,10.100.104.148,Rocket M5,
 BW-FI-S-3,10.100.104.137,Rocket M5,
 Olympus_Ext-FI_east,10.100.104.35,Rocket M5 Titanium,
FI_EAST-PM,10.100.104.140,0,
SIAE to Luberon,10.100.102.26,,

Trophy Medal Botique

Name,Ip,Model,Clients
Throphy Medal Botique,10.100.32.129,RB2011UiAS,6
BW-TMB-SECT-4,10.100.32.134,Rocket M5,
BW-TMB-SECT-3,10.100.32.133,Rocket M5 Titanium,
 BW-TMB-SECT-2,10.100.32.132,Rocket M5 Titanium,
 BW-BH-C-TO-TMB,10.100.32.10,Rocket M5 Titanium,
 BW-TMB-SECT-1,10.100.32.131,Rocket M5 Titanium,

Lammers 3

Name,Ip,Model,Clients
BW_LAMMERS3,10.100.2.129,CCR1009-8G-1S,94
 Pavilion Lammers 3 link,10.100.2.34,0,
 BW_lam3_Sec_E_Bo,10.100.2.133,Rocket M5,
 BW_lam3_Sec_NE_Onder,10.100.2.132,Rocket M5,
 BW_lam3_Sec_NE_Bo,10.100.2.131,Rocket M5,
 BW_lam3_Sec_E_Onder,10.100.2.134,Rocket M5 Titanium,
 LAM3-SECT-E-45deg,10.100.2.140,Rocket M5 Titanium,
 BW-LAM3-SEC4-E,10.100.2.135,Rocket M5 Titanium,
Lammers 3 PM,10.100.2.22,,
Lammers 3 - Static 1,10.100.2.19,,
