"Kitty Hawk Wipronet",99.91,2.33
"Salo de Swart (R 21) Wipronet",99.96,1
"Alpha Sand Wipronet",99.95,1.33
"Sosh HS-006",99.66,8.5
"Stinkfinger HS",99.96,1
Babelegi,95.06,123
"Amanda Sig 2",97.79,55
"Muniforum ",96.83,79
"Sosh HS-002",98.07,48
"Sosh HS-003",99.48,13
"ATTR HS-002",86.39,339
"ATTR HS-001",98.59,35
"Mamelodi CC",98.39,40
"Mame HS-001",97.97,50.5
"Church Square",99.69,7.67
"Sosh HS-010",99.94,1.5
"Sosh HS-008",98.23,44
"Sosh HS-011",99.12,22
"MOUNTAIN VIEW HS",99.47,13.33
"Boardwalk Heights",99.95,1.24
"Gerhard Straat",99.68,7.89
"Janelda Wipronet ",99.92,2
"Lombardy Estate",99.96,1
"Little Eden Wipronet",99.96,1.08
"Burnett HS",99.92,2
"Bapsfontein Wipronet",99.95,1.25
"Alexandria Mall",92.85,178
"Bronkhorspruit Silos Wipronet ",99.25,18.75
"Rhenosterkop Wipronet ",96.66,83.11
"Hebsiba Wipronet ",97.19,70
"Schanskop Wipronet ",98.54,36.2
"Wapadrand Wipronet ",99.85,3.67
"Waverly Wipronet ",99.84,4
"Klapperkop HS",99.88,3
"Waverley HS",99.88,3
Harties,98.11,47
Teraco,99.85,3.75
"Sosh CC",98.07,48
"Lemon Tree Estate",99.67,8.2
"LGR Wipronet ",99.8,5
LandRover,98.79,30.25
"GreenSands Wipronet",99.88,3
"Delmas (Schoeman) Silos Wipronet",99.93,1.75
"Johan Claasens Wipronet",99.88,3
"Zwavelsnest Wipronet",99.54,11.5
"Van Wyk Silos",99.87,3.25
"Grand Central",99.52,12
"Mooikloof Country Club",99.88,3
Vlakfontein,97.59,60
Kannemeyer,99.25,18.67
"Mame HS-004",98.31,42
"Bultfontein HS",99.33,16.86
"Hoewe HS",99.87,3.33
"Country Mushroom",99.96,1
"Bastille Estate",99.94,1.5
"Sontonga Mall",97.8,54.75
"Heartfelt Arena",99.72,7
"Hannes House",97.63,59
"Olympus Wipronet (Danie de Swart)",99.96,1
"Equestria River Estate",99.96,1
"Windgate HS",99.68,8
